scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
rising,constant,16,L1,2.0,2.64,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7455833333333334,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22033320025868874,direct_spt_model_form_check_not_site_validation
rising,constant,18,L1,2.0,2.5700000000000003,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7403333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22558320025868883,direct_spt_model_form_check_not_site_validation
rising,constant,20,L1,2.0,2.5,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.74475,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2211665335920221,direct_spt_model_form_check_not_site_validation
rising,constant,22,L1,2.0,2.43,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7444166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2214998669253555,direct_spt_model_form_check_not_site_validation
rising,constant,24,L1,2.0,2.3600000000000003,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7494166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2164998669253555,direct_spt_model_form_check_not_site_validation
rising,constant,26,L1,2.0,2.29,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7525,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21341653359202217,direct_spt_model_form_check_not_site_validation
rising,constant,28,L1,2.0,2.22,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.75475,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2111665335920221,direct_spt_model_form_check_not_site_validation
rising,constant,30,L1,2.0,2.1500000000000004,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7525833333333334,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21333320025868874,direct_spt_model_form_check_not_site_validation
rising,constant,32,L1,2.0,2.08,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7616666666666667,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2042498669253554,direct_spt_model_form_check_not_site_validation
rising,constant,34,L1,2.0,2.01,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.76775,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.19816653359202208,direct_spt_model_form_check_not_site_validation
