site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_02281,Yr2011,0.38,2.57035493850708,1,1,0,1.35,1.2662999999999998,0,-1.22035493850708
Canterbury_02281,Yr2016,0.107538164,2.2156135588645935,0,0,0,1.35,1.2662999999999998,0,-0.8656135588645935
Canterbury_02282,Yr2011,0.37,1.52054977416992,5,1,1,0.64,1.97346,0,-0.8805497741699201
Canterbury_02282,Yr2016,0.106671877,1.2231277565002425,0,0,0,0.64,1.97346,0,-0.5831277565002425
Canterbury_02283,Yr2010,0.211,1.88011264801025,0,0,0,1.0750000000000002,2.16237522,0,-0.8051126480102497
Canterbury_02283,Yr2011,0.325,1.95434772968292,0,0,0,1.0750000000000002,2.16237522,0,-0.8793477296829197
Canterbury_02283,Yr2016,0.099268652,1.6332403436422327,0,0,0,1.0750000000000002,2.16237522,0,-0.5582403436422325
Canterbury_02284,Yr2010,0.209,1.92445313930511,0,0,0,0.635,6.06132,0,-1.28945313930511
Canterbury_02284,Yr2011,0.335,1.88606393337249,0,0,0,0.635,6.06132,0,-1.25106393337249
Canterbury_02284,Yr2016,0.103941739,1.5686848426103521,0,0,0,0.635,6.06132,0,-0.9336848426103521
Canterbury_02285,Yr2010,0.21,1.68681764602661,0,0,0,0.55,1.52166,0,-1.13681764602661
Canterbury_02285,Yr2011,0.331,1.68659615516662,0,0,0,0.55,1.52166,0,-1.13659615516662
Canterbury_02285,Yr2016,0.103627749,1.3801080050945227,0,0,0,0.55,1.52166,0,-0.8301080050945226
Canterbury_02286,Yr2010,0.21,1.74683463573455,0,0,0,1.02,21.442580000000003,0,-0.7268346357345499
Canterbury_02286,Yr2011,0.333,1.77618443965911,4,1,1,1.02,21.442580000000003,0,-0.75618443965911
Canterbury_02286,Yr2016,0.102941744,1.4648047692537227,0,0,0,1.02,21.442580000000003,0,-0.4448047692537227
Canterbury_02287,Yr2010,0.21,1.745041847229,0,0,0,1.31,11.332980000000001,0,-0.43504184722899986
Canterbury_02287,Yr2011,0.333,1.79717791080474,4,1,1,1.31,11.332980000000001,0,-0.48717791080474004
Canterbury_02287,Yr2016,0.102187105,1.4846519968748013,0,0,0,1.31,11.332980000000001,0,-0.17465199687480126
Canterbury_02288,Yr2010,0.21,2.17017650604248,0,0,0,1.69,24.74552,0,-0.4801765060424801
Canterbury_02288,Yr2011,0.329,2.14144706726074,0,0,0,1.69,24.74552,0,-0.45144706726074
Canterbury_02288,Yr2016,0.101727925,1.8101240573883035,0,0,0,1.69,24.74552,0,-0.12012405738830356
Canterbury_02289,Yr2010,0.211,2.13991737365722,0,0,0,0.67,8.19312,0,-1.46991737365722
Canterbury_02289,Yr2011,0.326,2.20139265060424,4,1,1,0.67,8.19312,0,-1.5313926506042401
Canterbury_02289,Yr2016,0.100862674,1.8667966118812487,0,0,0,0.67,8.19312,0,-1.1967966118812488
